Arquivo,Tela,ID,Nome,Descrição,Pré-condições,Resultado na tela,Como testar
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-001,Conteúdo na abertura,Lista e filtros já aparecem ao entrar (com possível segunda atualização logo após).,Catálogo acessível.,Cards e selects visíveis após carregar.,Abrir Animes.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-002,Falha na abertura,Catálogo indisponível no primeiro momento não quebra a página.,Falha simulada.,Grade vazia; filtros vazios; página utilizável.,Ambiente com catálogo indisponível na abertura.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-003,Texto do cabeçalho,Título e descrição fixos.,Usuário em Animes.,**Animes** + texto sobre temporadas e clássicos.,Ler cabeçalho.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-004,Gaveta O que vem aí,Animes futuros em carrossel horizontal.,Resumo com **próximos animes**.,Seção **O que vem aí** acima dos filtros.,Ambiente com estreias futuras.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-005,Opções dos filtros,"Gêneros, anos, formatos, fontes e status vêm do catálogo disponível.",Catálogo populado.,Dropdowns preenchidos; gêneros em ordem alfabética; anos do mais recente ao mais antigo; status com rótulo em português quando aplicável.,Abrir cada select e comparar com títulos conhecidos.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-006,Valor “Todos”,Cada filtro em “Todos os …” não restringe aquele critério.,Todos em todos os selects.,Grade ampla.,Resetar filtros.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-007,Recarga ao mudar filtro e na hidratação,A grade recarrega quando a página termina de abrir **e** sempre que um filtro muda (pode haver um loading extra logo após a primeira pintura).,Página recém-aberta ou filtro alterado.,Spinner possível logo após abrir; novo spinner ao mudar filtro.,Abrir Animes observando loading; depois trocar gênero.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-008,Atualização após sync,Sync do catálogo pode atualizar a grade com a página aberta.,Sync disparada.,Lista muda sem F5.,Manter Animes aberta durante sync.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-009,Contador = cards da página atual,"O texto “X animes encontrados” conta os cards **mostrados**, não necessariamente o total de animes que existem para o filtro no catálogo.",Mais de ~48 animes para o filtro.,Contador pode mostrar até ~48 enquanto existem mais no catálogo.,Filtro amplo; comparar contador com total esperado manualmente.
04-ANIMES.md,"página **Animes** do site (listagem completa de animes, acessível pelo menu ou pelo título da faixa Animes na página inicial).",RN-ANIMES-010,"Grade, loading e vazio",Spinner central durante busca; grid responsivo; empty state amigável.,Filtro impossível ou resultados OK.,**Nenhum anime encontrado** + dica; ou 2–5 colunas de cards ~210px.,Testar filtro vazio e filtro amplo.
