Arquivo,ID_Cenario,ID_Regra,Resultado,Evidencia,Executor,Testado_Em
04-ANIMES.md,CT-RN-ANIMES-001-F,RN-ANIMES-001,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-002-F,RN-ANIMES-002,FAIL,Keywords (0/3): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-003-F,RN-ANIMES-003,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-004-F,RN-ANIMES-004,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-005-F,RN-ANIMES-005,FAIL,Keywords (0/4): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-006-F,RN-ANIMES-006,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-007-F,RN-ANIMES-007,FAIL,Keywords (0/2): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-008-F,RN-ANIMES-008,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-009-F,RN-ANIMES-009,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-010-F,RN-ANIMES-010,FAIL,Keywords (0/2): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-011-F,RN-ANIMES-011,FAIL,Keywords (0/2): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-012-F,RN-ANIMES-012,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-013-F,RN-ANIMES-013,PASS,Ausência esperada; termos monitorados: Não aparece na grade pública,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-014-F,RN-ANIMES-014,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-015-F,RN-ANIMES-015,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-016-F,RN-ANIMES-016,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-017-F,RN-ANIMES-017,FAIL,Keywords (0/1): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-018-F,RN-ANIMES-018,FAIL,Keywords (0/2): [],,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-019-F,RN-ANIMES-019,PASS,"Ausência esperada; termos monitorados: Modal/página de detalhe, id inválido  abre conteúdo quebrado",,2026-09-22T19:43:50Z
04-ANIMES.md,CT-RN-ANIMES-020-F,RN-ANIMES-020,BLOQUEADO,Regra depende de dado específico no catálogo; smoke anônimo não confirmou texto — QA manual com pré-condição.,,2026-09-22T19:43:50Z
11-AUTH-PERFIL.md,CT-RN-AUTH-001-F,RN-AUTH-001,PASS,Smoke: página renderizada; sem keywords — validação superficial.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-002-F,RN-AUTH-002,BLOQUEADO,Requer sessão autenticada; runner anônimo em produção.,,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-003-F,RN-AUTH-003,FAIL,Keywords (0/1): [],,2026-09-22T19:44:06Z
11-AUTH-PERFIL.md,CT-RN-AUTH-004-F,RN-AUTH-004,PASS,"Ausência esperada; termos monitorados: Só redireciona para páginas internas do site, envia o usuário para sites externos",,2026-09-22T19:44:06Z
