ID_Cenario,ID_Regra,Nome_Regra,Tela,Arquivo_Inventario,QA_Executor,Data_Execucao,Conta_QA,Veredito_Humano,Evidencia,TL_Validado,Observacao
CT-RN-ANIMES-001-F,RN-ANIMES-001,Conteúdo na abertura,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-002-F,RN-ANIMES-002,Falha na abertura,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-003-F,RN-ANIMES-003,Texto do cabeçalho,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-004-F,RN-ANIMES-004,Gaveta O que vem aí,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-005-F,RN-ANIMES-005,Opções dos filtros,Animes,04-ANIMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,PASS,evidencias/lote-fila-smoke-2026-09-23.png,,Smoke /animes: controles de filtro visíveis.
CT-RN-ANIMES-006-F,RN-ANIMES-006,Valor “Todos”,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-007-F,RN-ANIMES-007,Recarga ao mudar filtro e na hidratação,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-008-F,RN-ANIMES-008,Atualização após sync,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-009-F,RN-ANIMES-009,Contador = cards da página atual,Animes,04-ANIMES.md,Supervisor IA,2026-09-23,anon-prod-vercel,BLOQUEADO,evidencias/lote-fila-smoke-2026-09-23.png,,Passos CSV pendentes; smoke rota relacionada OK.
CT-RN-ANIMES-010-F,RN-ANIMES-010,"Grade, loading e vazio",Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-011-F,RN-ANIMES-011,Lote inicial sem “carregar mais”,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-012-F,RN-ANIMES-012,Exclusão de adulto explícito,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-013-F,RN-ANIMES-013,Tags sensíveis ocultas,Animes,04-ANIMES.md,,,,,,,
CT-RN-ANIMES-014-F,RN-ANIMES-014,Filtros combinados,Animes,04-ANIMES.md,,,,,,,
