Pacote,Camada_Testagem,ID_Regra,Nome_Regra,Arquivo_Inventario,Tela_Resumo,ID_Cenario,Titulo_Cenario,Objetivo,Tipo_Testagem,Pre_condicoes_TestE,Passos,Resultado_Esperado,Dados_Conta_Ambiente,Impedimentos_Conhecidos,Status_Elaboracao,QA_Autor,Data_Elaboracao,TL_Auditoria,TL_Comentario,TL_Data,Exploratorio_Validado
camadas-v1,Feliz,RN-ANIMES-001,Conteúdo na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-001-F,Feliz: Conteúdo na abertura,Caminho principal que confirma a regra RN-ANIMES-001 (Conteúdo na abertura).,Funcional manual,Catálogo acessível.,"1. Abrir o site e navegar até **Animes**.
2. Abrir Animes.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Cards e selects visíveis após carregar.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-001,Conteúdo na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-001-N,Negativo: Conteúdo na abertura — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-001, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Catálogo acessível.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Catálogo acessível..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-001,Conteúdo na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-001-E,Exploratório: Conteúdo na abertura — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-001 após o caminho feliz.,Exploratório guiado,Catálogo acessível.,"**Charter (15 min)** — área: **Animes** · regra: Conteúdo na abertura.
**Contexto:** Lista e filtros já aparecem ao entrar (com possível segunda atualização logo após).
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-002,Falha na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-002-F,Feliz: Falha na abertura,Caminho principal que confirma a regra RN-ANIMES-002 (Falha na abertura).,Funcional manual,Falha simulada.,"1. Abrir o site e navegar até **Animes**.
2. Ambiente com catálogo indisponível na abertura.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Grade vazia; filtros vazios; página utilizável.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-002,Falha na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-002-N,Negativo: Falha na abertura — degradação sem quebra,"Verificar que, sem a condição da regra RN-ANIMES-002, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Falha simulada.,"1. Abrir o site e navegar até **Animes** com catálogo/API indisponível ou vazio (conforme pré-condição).
2. Aguardar carregamento e interagir com a área afetada.
3. Confirmar estado vazio, mensagem amigável ou retry — sem tela branca.",Grade vazia; filtros vazios; página utilizável.,Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-002,Falha na abertura,04-ANIMES.md,Animes,CT-RN-ANIMES-002-E,Exploratório: Falha na abertura — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-002 após o caminho feliz.,Exploratório guiado,Falha simulada.,"**Charter (15 min)** — área: **Animes** · regra: Falha na abertura.
**Contexto:** Catálogo indisponível no primeiro momento não quebra a página.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-003,Texto do cabeçalho,04-ANIMES.md,Animes,CT-RN-ANIMES-003-F,Feliz: Texto do cabeçalho,Caminho principal que confirma a regra RN-ANIMES-003 (Texto do cabeçalho).,Funcional manual,Usuário em Animes.,"1. Abrir o site e navegar até **Animes**.
2. Ler cabeçalho.
3. Confirmar na tela o **resultado feliz** descrito na regra.",**Animes** + texto sobre temporadas e clássicos.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Negativo,RN-ANIMES-003,Texto do cabeçalho,04-ANIMES.md,Animes,CT-RN-ANIMES-003-N,Negativo: Texto do cabeçalho — condição não atendida ou perfil inverso,"Verificar que, sem a condição da regra RN-ANIMES-003, o comportamento feliz não ocorre indevidamente.",Funcional manual,Oposta ou ausência: Usuário em Animes.,"1. Abrir o site e navegar até **Animes**.
2. Montar pré-condição **oposta** à do caminho feliz: Usuário em Animes..
3. Executar os mesmos passos do cenário feliz.
4. Registrar se o resultado feliz deixa de ocorrer ou se há mensagem de impedimento.","Sem o cumprimento da regra, o comportamento feliz **não** se manifesta; nenhum defeito de UX (erro não tratado, dado incorreto exposto).",Homologação/produção; preparar **pré-condição oposta** à do caminho feliz,,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
camadas-v1,Exploratório,RN-ANIMES-003,Texto do cabeçalho,04-ANIMES.md,Animes,CT-RN-ANIMES-003-E,Exploratório: Texto do cabeçalho — charter de risco na tela,Charter exploratório ligado à regra RN-ANIMES-003 após o caminho feliz.,Exploratório guiado,Usuário em Animes.,"**Charter (15 min)** — área: **Animes** · regra: Texto do cabeçalho.
**Contexto:** Título e descrição fixos.
**Hipóteses:** (H1) estados intermediários (scroll, resize, tema claro/escuro) não quebram o comportamento; (H2) combinação com filtros/busca/modal adjacente não contradiz a regra; (H3) repetição rápida da ação não duplica efeito indevido.
**Fora do escopo:** outras telas, performance profunda, segurança ofensiva.
**Encerramento:** registrar achados com print; vincular desvio à `ID_Regra` se encontrado.",Sessão exploratória concluída; hipóteses verificadas ou desvio aberto com evidência; sem contradição grave ao resultado feliz da regra.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,Pendente TL
camadas-v1,Feliz,RN-ANIMES-004,Gaveta O que vem aí,04-ANIMES.md,Animes,CT-RN-ANIMES-004-F,Feliz: Gaveta O que vem aí,Caminho principal que confirma a regra RN-ANIMES-004 (Gaveta O que vem aí).,Funcional manual,Resumo com **próximos animes**.,"1. Abrir o site e navegar até **Animes**.
2. Ambiente com estreias futuras.
3. Confirmar na tela o **resultado feliz** descrito na regra.",Seção **O que vem aí** acima dos filtros.,Homologação/produção; conforme pré-condição da regra (caminho feliz),,Rascunho camadas (revisar QA),gerar-cenarios-camadas (agente),2026-09-22,Pendente,,,N/A
